lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
directional,relating to or indicating directions in space,4,-4.7242695677035815,-4.7523960608151645,0.0
ventricle,one of four connected cavities in the brain; is continuous with the central canal of the spinal cord and contains cerebrospinal fluid,11,-4.992738463014199,-5.092292555352432,0.09090909090909094
unsupervised,not supervised or under constant observation,3,-5.2459151098564485,-5.05680326167004,0.0
jumble,a confused multitude of things,3,-4.457876559194317,-4.532924880361838,0.0
molding,the act of creating something by casting it in a mold,5,-4.3841549995130595,-4.425447423034869,0.0
christen,administer baptism to,2,-5.768455865064713,-5.768455865064713,0.0
amazement,the feeling that accompanies something extremely surprising,5,-3.9154691922332736,-3.8753986827325893,0.19999999999999996
bestest,(superlative of `good') having the most positive qualities,4,-3.8763724096332672,-4.5205152905054655,0.25
swerved,turn sharply; change direction abruptly,5,-4.484835856678228,-4.426174726582724,0.0
slowest,not moving quickly; taking a comparatively long time,6,-3.1873404545772455,-3.1557252842055714,0.16666666666666663
retaining,hold back within,2,-3.0297346660109445,-3.0297346660109445,0.0
squabbling,argue over petty things,3,-4.156000979507062,-4.733312645443932,0.0
converging,the act of converging (coming closer),4,-4.17169831623567,-4.097266319071204,0.0
v.p.,an executive officer ranking immediately below a president; may serve in the president's place under certain circumstances,10,-4.1599058613057,-4.1498493190135095,0.0
nicker,the characteristic sounds made by a horse,4,-3.9284316610674517,-3.7194708002362407,0.0
parasitic,relating to or caused by parasites,3,-4.87005941313147,-5.234891824661883,0.0
guardianship,attention and management implying responsibility for safety,5,-4.6856349629417,-4.407557065517606,0.0
playhouse,plaything consisting of a small model of a house that children can play inside of,8,-4.287286271379461,-3.7200574104875197,0.0
characterize,describe or portray the character or the qualities or peculiarities of,5,-4.96479891871881,-4.685728343722031,0.19999999999999996
aiken,United States writer (1889-1973),3,-4.215418803885021,-4.323541482777782,0.0
southerner,an American who lives in the South,3,-3.6765737504477194,-3.9124974427819286,0.0
inconspicuous,not prominent or readily noticeable,3,-5.895388363699934,-5.987824233462786,0.0
traverse,travel across or pass over,2,-4.287611808428143,-4.287611808428143,0.5
knapsack,a bag carried by a strap on your back or shoulder,5,-4.054501878057488,-4.1030027099023,0.0
endures,put up with something or somebody unpleasant,4,-3.673659624314495,-3.3447470306107316,0.0
impunity,exemption from punishment or loss,3,-4.562315737068342,-4.562315737068342,0.33333333333333337
gulag,a Russian prison camp for political prisoners,5,-4.273192589931825,-4.238517760343317,0.0
vas,a tube in which a body fluid circulates,4,-4.429004855120098,-4.748372599092286,0.25
unknowingly,without knowledge or intention,2,-4.584041633101522,-4.584041633101522,0.0
lind,Swedish soprano who toured the United States under the management of P. T. Barnum (1820-1887),7,-4.733056237725271,-4.686490360018205,0.1428571428571429
steeple,a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top,11,-4.179686916297908,-4.212411506086151,0.18181818181818177
rotor,the rotating armature of a motor or generator,4,-5.169552755731995,-5.023968883080869,0.25
wylie,United States poet (1885-1928),3,-4.343481699633068,-4.323541482777782,0.0
hounded,pursue or chase relentlessly,3,-5.2459261438450495,-5.1087129386249135,0.0
splutter,the noise of something spattering or sputtering explosively,5,-4.733179057144592,-5.0895995327104195,0.19999999999999996
overzealous,marked by excessive enthusiasm for and intense devotion to a cause or idea,7,-4.630009915783096,-4.868183703745492,0.0
lansing,capital of the state of Michigan; located in southern Michigan on the Grand River,8,-4.665990608234833,-4.7960541079400585,0.0
khaki,of a yellowish brown color,3,-4.326225306169988,-4.326225306169988,0.33333333333333337
gooder,having desirable or positive qualities especially those suitable for a thing specified,7,-4.724083235211372,-4.614634132709683,0.0
bruges,a city in northwestern Belgium that is connected by canal to the North Sea; in the 13th century it was a leading member of the Hanseatic League; the old city (known as the City of Bridges) is a popular tourist attraction,20,-4.3311765542993745,-4.2432628315028,0.050000000000000044
spatula,a turner with a narrow flexible blade,4,-5.020670466615128,-4.944582086875546,0.0
vaporize,kill with or as if with a burst of gunfire or electric current or as if by shooting,6,-4.445973875101302,-4.720834556583241,0.0
laguna,a body of water cut off from a larger body by a reef of sand or coral,8,-4.228869469809194,-3.9700776335591588,0.0
memorandum,a written proposal or reminder,3,-4.690899351759872,-4.877121948168365,0.0
alerting,a state of readiness to respond,3,-4.841171912170181,-4.805630609710784,0.0
texan,a native or resident of Texas,3,-4.781405587444079,-4.7966619138511675,0.0
straightening,straighten up or out; make straight,3,-3.9457721074352725,-3.907645779170618,0.0
underlined,give extra weight to (a communication),4,-4.056073465677281,-4.325822379729696,0.0
justifiable,capable of being justified,2,-4.901604895284363,-4.901604895284363,0.0
forsaking,the act of forsaking,2,-4.920236384857483,-4.920236384857483,0.0
sifting,the act of separating grain from chaff,4,-4.536332606564926,-4.599761231993911,0.25
varys,"become different in some particular way, without permanently losing one's or its former characteristics or essence",9,-4.352538525733012,-4.527620364946415,0.0
pomegranate,shrub or small tree native to southwestern Asia having large red many-seeded fruit,10,-4.355633289163733,-4.317326232567054,0.30000000000000004
synergy,the working together of two things (muscles or drugs for example) to produce an effect greater than the sum of their individual effects,12,-4.0418851360701415,-4.364089480146864,0.0
wisp,a small tuft or lock,3,-3.987027473175762,-3.987027473175762,0.33333333333333337
invoked,"summon into action or bring into existence, often as if by magic",6,-4.336022915415177,-4.174767392783595,0.0
