lemma,definition,count
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,1551258643
home,at or to or in the direction of one's home or family,1343605650
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains,1316122844
time,an instance or single occasion for some event,1111656450
service,work done by one person or group that benefits another,1081744026
search,the activity of looking thoroughly in order to find something or someone,1081663131
site,the piece of land on which something is located (or is to be located),1047065976
one,used of a single unit or thing; not two or more,1030094716
free,able to act at will; not hampered; not under compulsion or restraint,1014995410
information,a message received and understood,935638515
may,the month following April and preceding June,828929629
product,commodities offered for sale,813493987
year,a period of time containing 365 (or 366) days,788933892
news,information about recent and important events,755424983
day,time for Earth to make a complete rotation on its axis,751398261
find,"come upon, as if by accident; meet with",750329830
price,the property of having material worth (often indicated by the amount of money something would bring if sold),745086954
use,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,719980257
state,the territory occupied by one of the constituent administrative districts of a nation,714041148
see,perceive by sight or have the power to perceive by sight,691684623
business,a commercial or industrial enterprise and the people who constitute it,685665263
contact,close interaction,680789678
view,a way of regarding situations or topics etc.,679612669
book,a written work or composition that has been published (printed on pages bound together),678670133
get,come into the possession of something concrete or abstract,654791998
review,look at again; examine again,646751881
help,give help or assistance; be of service,640662027
item,a distinct part that can be specified separately in a group of things that could be enumerated on a list,627040260
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,625671700
web,an intricate network suggesting something that was formed by weaving or interweaving,623073565
system,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,620530933
also,in addition,616829742
post,the position where someone (as a guard or sentry) stands or is assigned to stand,609778564
pm,an examination and dissection of a dead body to determine cause of death or the changes produced by disease,606618641
online,on a regular route of a railroad or bus or airline system,601317059
link,make a logical or causal connection,580329194
first,preceding all others in time or space or degree,578720548
good,having desirable or positive qualities especially those suitable for a thing specified,575382957
hotel,a building where travelers can pay for lodging and meals and other services,573485707
click,move or strike with a noise,543596962
name,a language unit by which a person or thing is known,536451608
game,a contest with rules to determine a winner,533042401
list,a database containing an ordered array of items (names or topics),530839895
like,prefer or wish to do something,530313020
date,the specified day of the month,527409617
work,activity directed toward making or doing something,518065646
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),510515046
top,the upper part of anything,495984898
make,engage in,492914240
back,in or to or toward a former location,492821317
people,(plural) any group of human beings (men or women or children) collectively,489752450
message,a communication (usually brief) that is written or spoken or signaled,482778842
policy,a plan of action adopted by an individual or social group,472193707
go,"change location; move, travel, or proceed, also metaphorically",468725815
user,a person who makes use of a thing; someone who uses or employs something,465766463
school,an educational institution,462035941
video,the visible part of a television transmission,459479130
email,(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in,457239566
city,a large and densely populated urban area; may include several independent administrative districts,450485160
program,a series of steps to be carried out or goals to be accomplished,449185215
number,the property possessed by a sum or total or indefinite quantity of units or individuals,448864945
group,any number of entities (members) considered as a unit,447657251
company,an institution created to conduct business,442980926
world,everything that exists anywhere,442525771
two,being one more than one,441634470
health,a healthy state of wellbeing free from disease,440431718
comment,a statement that expresses a personal opinion or belief or adds information,436187177
store,a mercantile establishment for the retail sale of goods or services,432519343
next,nearest in space or position; immediately adjoining without intervening space,425903347
used,employed in accomplishing something; - H.H.Arnold & I.C.Eaker,421438139
last,immediately past,420280283
order,give instructions to or direct somebody to do something with authority,417236548
buy,obtain by purchase; acquire by means of a financial transaction,416808951
music,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner,414290995
forum,a public meeting or assembly for open discussion,413651714
data,a collection of facts from which conclusions may be drawn,407047988
part,something determined in relation to something that includes it,403366808
support,"give moral or psychological support, aid, or courage to",402426463
add,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",402115067
report,to give an account or representation of in words,400753331
result,a phenomenon that follows and is caused by some previous phenomenon,395605888
photo,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material,394952702
term,a word or expression used for some particular thing,393988734
copyright,a document granting exclusive right to publish and sell literary or musical or artistic work,382598663
area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography),381857884
please,give pleasure to or be pleasing to,380046348
available,obtainable or accessible and ready for use or service,379644437
well,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),376156431
car,a motor vehicle with four wheels; usually propelled by an internal combustion engine,374438210
map,a diagrammatic representation of the earth's surface (or part of it),373624326
best,(superlative of `good') having the most positive qualities,372077616
software,(computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory,371779484
file,record in a public office or in a court of law,367388729
jan,the first month of the year; begins 10 days after the winter solstice,366584969
set,put into a certain place or abstract location,364625811
way,how something is done or how it happens,363630069
job,the principal activity in your life that you do to earn money,358782534
great,relatively large in size or number or extent; larger than others of its kind,358027013
line,a formation of people or things one beside another,356815938
info,a message received and understood,354343399
