lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
livonian,a member of the Livonian-speaking people of Latvia,4,-3.662657103154338,-3.079492563754609,0.25
magnoliaceae,"subclass Magnoliidae: genera Liriodendron, Magnolia, and Manglietia",6,-5.747026798078778,-5.290146230384095,0.33333333333333337
beseeched,ask for or request earnestly,3,-4.453963439043504,-3.74252668203588,0.0
referes,make reference to,2,-3.3145047557510567,-3.3145047557510567,0.0
laius,(Greek mythology) king of Thebes who was unwittingly killed by his son Oedipus,8,-5.0157069206168785,-4.752854833231056,0.0
clannish,characteristic of a clan especially in being unified,4,-4.772513989645248,-4.56229783004494,0.0
tricholoma,agarics with white spores and a fleshy stalk and notched gills; of various colors both edible and inedible,11,-5.264243441808213,-5.412674424000753,0.0
undock,move out of a dock,2,-4.363441069224573,-4.363441069224573,0.0
anagallis,chiefly Old World herbs,4,-4.215379511628166,-4.038404016711825,0.0
cecity,the state of being blind or lacking sight,3,-3.883648852641867,-4.2231919320019005,0.0
palmate,(of the feet of water birds) having three toes connected by a thin fold of skin,8,-4.13921475430555,-4.096542398246118,0.0
kipping,be asleep,1,-5.170917930716219,-5.170917930716219,0.0
gyrated,to wind or move in a spiral course,4,-4.081293249633117,-3.929917048882963,0.0
onega,lake in northwestern Russia near the border with Finland; second largest lake in Europe,9,-4.051676183144997,-3.7896450148993117,0.0
dytiscidae,water beetles,2,-4.272820618259847,-4.272820618259847,0.0
tediousness,dullness owing to length or slowness,4,-5.5563970066981785,-5.781017910049318,0.0
weeing,eliminate urine,2,-4.9060952652447645,-4.9060952652447645,0.0
rehoused,put up in a new or different housing,4,-3.4410436452445103,-3.592050751784986,0.0
sambre,a river in western Europe that rises in northern France and flows generally east into Belgium where it joins the Meuse at Namur,13,-4.319236368615729,-4.009941712081743,0.0
decentralising,make less central,3,-3.459491748902759,-3.5887225412195702,0.0
alectoris,a genus of Perdicidae,2,-5.037768311841906,-5.037768311841906,0.5
muser,a reflective thinker characterized by quiet contemplation,5,-5.2698226348625195,-5.350936300528998,0.0
psychodidae,very small two-winged flies with hairy wings that develop in moss and damp vegetable matter: sand flies,12,-4.362336609368119,-4.245825416611607,0.08333333333333337
alienable,transferable to another owner,2,-4.628705923985363,-4.628705923985363,0.0
copaiba,an oleoresin used in varnishes and ointments,4,-5.38927606354093,-5.730188587857256,0.0
alecto,one of the three Furies,1,-5.209419549909411,-5.209419549909411,0.0
scuffled,walk by dragging one's feet,3,-4.220819083703314,-4.09854239595895,0.0
eccrine,(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell; important in regulating body temperature,14,-4.5788008467741195,-4.08522514452928,0.0
glassing,furnish with glass,2,-4.6189999341445525,-4.6189999341445525,0.0
incisively,in an incisive manner,2,-5.219197009380468,-5.219197009380468,0.0
primping,careful or finicky grooming,3,-5.522992418512479,-5.199125864423229,0.0
accessioning,"make a record of additions to a collection, such as a library",5,-3.50342345327537,-3.49027049336347,0.0
scofflaw,one who habitually ignores the law and does not answer court summonses,6,-4.529690004443599,-4.1597918259257245,0.0
hurter,suffering from physical injury especially that suffered in battle,6,-4.319730412547373,-4.1515055169422705,0.0
bellyache,an ache localized in the stomach or abdominal region,5,-5.08686750452685,-5.26797440466774,0.0
continueing,"continue a certain state, condition, or activity",5,-3.5058159298422766,-3.4424807315151646,0.0
langside,(1568) Catholic forces supporting Mary Queen of Scots were routed by Protestants,8,-4.5058408777927745,-4.2920364939387685,0.0
outranked,take precedence or surpass others in rank,5,-4.471960758765246,-4.129677045478254,0.0
typographically,in a typographic way,2,-4.770427720190499,-4.770427720190499,0.0
patzer,a poor chess player,3,-4.157961603790626,-4.086704386649243,0.0
elephas,type genus of the family Elephantidae,4,-3.851364938473788,-3.290189668650577,0.25
warbled,"sing or play with trills, alternating with the half note above or below",6,-4.419734092359343,-4.23443629714993,0.0
maximian,Roman Emperor from 286 until he abdicated in 305; when Diocletian divided the Roman Empire in 286 Maximian became emperor in the west (died in 311),12,-5.043600053548169,-4.655211871872888,0.0
pharisaic,excessively or hypocritically pious,3,-6.325043916575303,-5.9197995215066355,0.0
paramyxovirus,a group of viruses including those causing mumps and measles,6,-4.438639584779339,-3.819810554034754,0.16666666666666663
clusiaceae,widely distributed family of chiefly tropical trees and shrubs and vines that produce oils and resins and some usable timber,13,-4.566410001116503,-4.735812869021208,0.07692307692307687
titillated,"touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements",12,-4.700466787704809,-4.4929514186386434,0.0
micaceous,hydrous silicates of or relating to or resembling mica,5,-5.857562360285049,-5.789205538552086,0.0
shovelled,dig with or as if with a shovel,2,-5.227560337763061,-5.227560337763061,0.0
reallotment,a new apportionment (especially a new apportionment of congressional seats in the United States on the basis of census results),12,-3.9603376861479234,-3.99409007715472,0.0
connoting,express or state indirectly,3,-4.021472084614309,-3.9782848787777603,0.0
complaisant,showing a cheerful willingness to do favors for others,5,-4.4436586737949355,-4.507800181446169,0.0
deferent,showing deference,2,-4.622799905011036,-4.622799905011036,0.0
phleum,grasses native to temperate regions,4,-4.5401918960270145,-4.406789636106739,0.0
sanest,mentally healthy; free from mental disorder,5,-4.148934569396582,-4.287158495250058,0.0
doeskin,soft leather from deerskin or lambskin,4,-5.362716107504777,-5.298843836942611,0.0
emboldening,give encouragement to,2,-4.382182477526994,-4.382182477526994,0.0
linin,an obsolete term for the network of viscous material in the cell nucleus on which the chromatin granules were thought to be suspended,10,-4.489837339109343,-4.391254487975109,0.0
overproducing,produce in excess; produce more than needed or wanted,5,-3.8637865023603437,-4.113281057183565,0.0
alauda,type genus of the Alaudidae: skylarks,4,-4.799958693010648,-5.037768311841906,0.25
coalface,the part of a coal seam that is being cut,4,-4.261685127925052,-4.292677688807792,0.0
subtend,"be opposite to; of angles and sides, in geometry",4,-4.379670940374453,-4.553084108650102,0.0
pouched,put into a small bag,3,-3.680130087536162,-3.6694080589815634,0.0
reimposed,impose anew,2,-5.437487142315817,-5.437487142315817,0.0
pernis,a common European bird of prey; dull brown with white-streaked underparts,7,-4.816250413822282,-4.650348503899506,0.1428571428571429
laffite,French pirate who aided the United States in the War of 1812 and received an official pardon for his crimes (1780-1826),10,-3.918747460086121,-3.8364128972734974,0.0
befalling,become of; happen to,2,-4.011637191055868,-4.011637191055868,0.0
marsupialia,coextensive with the subclass Metatheria,3,-5.973199846467974,-5.973199846467974,0.33333333333333337
geochelone,giant tortoises,2,-5.013625955274504,-5.013625955274504,0.0
shoddily,in a shoddy manner,2,-5.279741363198591,-5.279741363198591,0.0
flossy,like down or as soft as down,1,-4.173522612666755,-4.173522612666755,0.0
eddo,edible starchy tuberous root of taro plants,6,-5.456920223551921,-5.785617482505731,0.0
ruscus,a genus of European evergreen shrubs; sometimes placed in family Asparagaceae,8,-4.293400435732627,-4.093663596429863,0.125
biconvex,convex on both sides; shaped like a lentil,4,-4.792970331313779,-4.879504690101241,0.0
unreproducible,impossible to reproduce or duplicate,3,-4.84580343803216,-4.901091248890789,0.0
brachiopoda,marine invertebrates that resemble mollusks,4,-5.3290107290360575,-5.54945149361742,0.25
appaling,strike with disgust or revulsion,3,-5.551166609851147,-5.807858036133296,0.0
procreating,have offspring or produce more individuals of a given animal or plant,6,-3.993222741983375,-3.753387256390997,0.0
ceryle,a genus of birds of the family Alcedinidae,4,-4.135357541116974,-4.0781146428584405,0.25
pteropus,a genus of Megachiroptera,2,-5.037768311841906,-5.037768311841906,0.5
unbelted,undo the belt of,2,-4.693296101402606,-4.693296101402606,0.0
unreconciled,not made consistent or compatible,3,-3.9242669975951188,-4.280753992951851,0.0
capillarity,a phenomenon associated with surface tension and resulting in the elevation or depression of liquids in capillaries,9,-4.446994017952684,-4.5691378907121125,0.0
manageress,a woman manager,2,-3.4960671296328556,-3.4960671296328556,0.0
brochette,a small spit or skewer,3,-4.9536525152297015,-5.390859000539073,0.0
waviness,(of hair) a tendency to curl,3,-4.700589744600684,-4.991561964531087,0.0
proctologist,a doctor specializing in diseases of the rectum and anus,5,-4.905068691397959,-5.233144171752236,0.0
mattering,"have weight; have import, carry weight",4,-3.979162723566474,-3.9751716718300294,0.0
collotype,a photomechanical printing process that uses a glass plate with a gelatin surface that carries the image to be reproduced; can be used with one or more colors,13,-4.255454039446092,-4.00133029886096,0.0
ichthyologist,a zoologist who studies fishes,3,-4.634435809041315,-4.029707730659322,0.0
chartism,the principles of a body of 19th century English reformers who advocated better social and economic conditions for working people,12,-3.8064588585419066,-3.5994764270764774,0.0
nalfon,a nonsteroidal anti-inflammatory drug (trade name Nalfon) used in the treatment of arthritis and other painful inflammatory disorders,12,-4.588130454383151,-4.292138046728386,0.08333333333333337
rattrap,a difficult entangling situation,3,-4.9908172901633465,-4.14173155278987,0.0
gelded,cut off the testicles (of male animals such as horses),5,-4.221082404068141,-3.8969710669625326,0.0
whirred,make a soft swishing sound,4,-4.173650651034799,-3.912863379649415,0.0
sceptred,invested with legal power or official authority especially as symbolized by having a scepter,8,-4.521737000205866,-3.9294901449514708,0.0
luxuriantly,in an abundant and luxuriant manner,3,-5.3683611581191215,-5.232721975420983,0.0
quantised,approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values,10,-4.508162606754889,-4.857456236374439,0.0
eurocurrency,currency of the major financial and industrial countries held in those countries for the purpose of lending and borrowing,10,-3.995615999707687,-3.7792456013450524,0.0
tephrosia,genus of tropical and subtropical herbs or shrubs: hoary peas,7,-5.217395715011117,-5.037768311841906,0.0
braincase,the part of the skull that encloses the brain,4,-4.52130232923068,-4.617200053978585,0.0
percipient,a person who becomes aware (of things or events) through the senses,6,-3.8851455332182696,-3.5905403376214737,0.0
engraulis,type genus of the family Engraulidae,4,-3.851364938473788,-3.290189668650577,0.25
sphyrna,type genus of the Sphyrnidae,3,-4.1319525733853935,-4.1319525733853935,0.33333333333333337
haled,"to cause to do through pressure or necessity, by physical, moral or intellectual means :",7,-4.1803887210629975,-4.021050136325613,0.0
chilliness,the property of being moderately cold,3,-4.2876436297351015,-4.146121043425731,0.0
wisent,European bison having a smaller and higher head than the North American bison,8,-3.982460642277446,-3.550019059538557,0.0
mammalogist,one skilled in the study of mammals,3,-4.4363333806294065,-4.876105871781973,0.0
overexploited,exploit excessively,2,-5.366227060362982,-5.366227060362982,0.0
humanizes,make more humane,2,-4.238835134947926,-4.238835134947926,0.0
earless,lacking external ears,3,-4.236722378503395,-4.2231919320019005,0.0
serpentes,snakes,1,-4.763933117896705,-4.763933117896705,0.0
lecanora,any lichen of the genus Lecanora; some used in dyeing; some used for food,7,-4.685019304296467,-4.975744329888202,0.0
characidae,tropical freshwater fishes of Africa and South America and Central America,8,-3.9889927595145878,-3.788069890144855,0.0
prodrome,an early symptom that a disease is developing or that an attack is about to occur,6,-4.070752073119483,-4.023372896873395,0.0
plastically,in a plastic manner,2,-4.218259412671201,-4.218259412671201,0.0
harborage,(nautical) a place of refuge (as for a ship),4,-4.366136353755365,-4.416577339701652,0.0
trihydroxy,containing three hydroxyl groups,3,-4.551805792921944,-4.298874815826062,0.0
inharmonious,not in harmony,1,-4.837837093937934,-4.837837093937934,0.0
unconstructive,not constructive,1,-5.232268168263893,-5.232268168263893,0.0
vallisneria,eelgrass; eel grass,3,-5.668099356887986,-5.541821147382385,0.0
calendared,enter into a calendar,2,-3.704838195095486,-3.704838195095486,0.0
architeuthis,largest mollusk known about but never seen (to 60 feet long),7,-3.8216358604924587,-3.5496338597257213,0.0
ideologist,an advocate of some ideology,2,-4.932280403406976,-4.932280403406976,0.0
eardrop,an earring with a pendant ornament,3,-4.729119644237546,-4.650410006764808,0.0
amatory,expressive of or exciting sexual love or romance,5,-4.583297937637465,-4.4552179805338215,0.0
frontally,"in, at, or toward the front",1,-3.757173173872581,-3.757173173872581,0.0
disgustedly,with disgust,1,-5.807858036133296,-5.807858036133296,0.0
eviscerating,surgically remove a part of a structure or an organ,5,-4.353048509943004,-4.036975436823081,0.0
countermand,a contrary command cancelling or reversing a previous command,6,-4.158841743012687,-4.1460187625114875,0.0
lxxxi,being one more than eighty,1,-5.241983317532846,-5.241983317532846,0.0
bottommost,farthest down,1,-6.092565789682627,-6.092565789682627,0.0
vomitus,the matter ejected in vomiting,3,-5.146959027644912,-5.798652693491259,0.0
corncob,the hard cylindrical core that bears the kernels of an ear of corn,7,-4.416967893893847,-4.405477115838417,0.0
chador,a cloth used as a head covering (and veil and shawl) by Muslim and Hindu women,9,-4.2837034754566865,-4.505556802506979,0.0
snuffling,sniff or smell inquiringly,3,-5.951926097732479,-5.699733947939186,0.0
eclogue,a short poem descriptive of rural or pastoral life,6,-4.347778894717195,-4.356855554871113,0.0
disowns,prevent deliberately (as by making a will) from inheriting,4,-4.549678849577303,-4.755577632743746,0.0
atheromatous,of or relating to or resembling atheroma,3,-5.933354672802099,-5.54945149361742,0.0
podded,take something out of its shell or pod,4,-4.057303320201157,-4.012678951249873,0.0
daydreamed,have a daydream; indulge in a fantasy,3,-5.214889976651218,-5.579062258773267,0.0
antinomy,a contradiction between two statements that seem equally reasonable,5,-4.445659383853397,-4.345794542802667,0.0
democratising,become (more) democratic; of nations,3,-3.9995598666018117,-3.889345536548113,0.0
colubridae,nonvenomous snakes; about two-thirds of all living species,5,-4.145226727233745,-4.122399128542988,0.4
handwear,clothing for the hands,2,-3.7231227219204968,-3.7231227219204968,0.0
monocarboxylic,containing one carboxyl group,3,-4.596257365502779,-4.298874815826062,0.0
plateful,the quantity contained in a plate,3,-4.19838384796717,-4.184170248300795,0.0
raffish,marked by up-to-dateness in dress and manners,4,-4.068900164286901,-4.213686751960338,0.25
downloades,transfer a file or program from a central computer to a smaller computer or to a computer at a remote location,10,-3.450788108314357,-3.288696271046423,0.0
portended,indicate by signs,2,-3.858245102618821,-3.858245102618821,0.0
frogged,hunt frogs for food,3,-4.270632238571548,-4.591558988366372,0.0
celastraceae,trees and shrubs and woody vines usually having bright-colored fruits,7,-4.411580373015569,-4.281982654105426,0.2857142857142857
knavery,lack of honesty; acts of lying or cheating or stealing,6,-4.410402740267286,-4.267183772012961,0.0
karaites,a Jewish sect that recognizes only the Hebrew Scriptures as the source of divinely inspired legislation and denies the authority of the postbiblical tradition of the Talmud; the sect arose in Iraq in the eighth century,19,-4.758474685799087,-4.7190390628436605,0.052631578947368474
hairiness,the quality of having hair,2,-3.7303204414204796,-3.7303204414204796,0.0
impersonally,without warmth,1,-5.27706789709781,-5.27706789709781,0.0
atones,make amends for,2,-4.341479323093636,-4.341479323093636,0.0
pantropic,distributed throughout the tropics,2,-5.193604951972105,-5.193604951972105,0.0
scotoma,an isolated area of diminished vision within the visual field,6,-4.2144510230700645,-4.080559113465615,0.0
patchouly,small East Indian shrubby mint; fragrant oil from its leaves is used in perfumes,10,-4.379280451741705,-4.080352031775926,0.0
woebegone,worn and broken down by hard use,4,-3.9372487364130873,-3.963945193579736,0.0
suffuses,"cause to spread or flush or flood through, over, or across",4,-4.424516349649771,-4.4405901237214,0.0
flavone,a colorless crystalline compound that is part of a number of white or yellow plant pigments,9,-4.329898110059312,-3.853931889769339,0.0
inelasticity,the lack of elasticity,2,-4.895246184154633,-4.895246184154633,0.0
ritualist,an advocate of strict observance of ritualistic forms,5,-5.012341231655814,-4.852674695315828,0.0
besets,annoy continually or chronically,3,-5.531429640648951,-5.594010860911683,0.0
oxyhemoglobin,the bright red hemoglobin that is a combination of hemoglobin and oxygen from the lungs,7,-4.736511360665619,-4.650651024776346,0.0
harrowed,draw a harrow over (land),3,-4.544019563810992,-4.3197776291488035,0.0
hyperboloid,a quadric surface generated by rotating a hyperbola around its main axis,8,-4.904950992971035,-4.593474558015531,0.0
mustelidae,weasels; polecats; ferrets; minks; fishers; otters; badgers; skunks; wolverines; martens,10,-5.5748011674561315,-5.446750218586292,0.09999999999999998
hoovering,clean with a vacuum cleaner,3,-4.393231921048899,-4.502298802873484,0.0
multiplicatively,in a multiplicative manner,2,-5.251906971387925,-5.251906971387925,0.0
paracentesis,centesis of the belly to remove fluid for diagnosis,5,-4.491612876159186,-4.536902385098495,0.19999999999999996
locusta,a genus of Acrididae,2,-6.2959387826289746,-6.2959387826289746,0.0
remuda,the herd of horses from which those to be used the next day are chosen,6,-3.643830479073762,-3.477667852842695,0.0
assuredness,great coolness and composure under strain,4,-5.03555749601267,-5.367791782125105,0.0
sparganium,type and sole genus of Sparganiaceae; marsh or aquatic herbs of temperate regions,9,-4.6006059147812355,-4.788902557518033,0.11111111111111116
unhesitating,characterized by quickness and firmness,3,-5.994025468705233,-6.18765771415121,0.0
potholed,used of paved surfaces having holes or pits,5,-4.267404710863571,-4.1928013633690115,0.0
meatman,a retailer of meat,2,-4.472259237681989,-4.472259237681989,0.0
adansonia,baobab; cream-of-tartar tree,3,-5.210731689541435,-5.210731689541435,0.33333333333333337
sybarite,a person addicted to luxury and pleasures of the senses,5,-4.51315349991952,-4.482120058704164,0.0
horselaugh,a loud laugh that sounds like a horse neighing,5,-4.915401682216383,-4.666957422971212,0.0
shacked,make one's home in a particular place or community,5,-3.2476468957702416,-3.2854423748630084,0.0
cuckolded,be sexually unfaithful to one's partner in marriage,4,-4.8142799615302,-4.639210929019342,0.0
hypovolemic,of or relating to a decrease in the volume of circulating blood,5,-4.593140647636867,-4.528717446887495,0.0
sinkiang,an autonomous province in far northwestern China on the border with Mongolia and Kazakhstan; the largest province in the People's Republic of China and the homeland of the Uighur people,16,-4.311070606348225,-4.300997176478992,0.0
mythologized,construct a myth,2,-4.745317901901439,-4.745317901901439,0.0
oversleeping,sleep longer than intended,3,-4.416558148495138,-4.2267967489026805,0.0
